operation,implementation,batch_size,mean_ms,std_ms
fusion3_cnn,pytorch_unfused,16,0.6801413350635105,0.0708121372307648
fusion3_cnn,triton_fused,16,0.7176931556728151,0.016671938765903605
fusion3_cnn,cuda_fused,16,0.4996999104817708,0.0693654040446683
fusion3_cnn,pytorch_unfused,32,0.49722151160240174,0.04259128214981444
fusion3_cnn,triton_fused,32,0.5731717341476017,0.02481529085682093
fusion3_cnn,cuda_fused,32,0.35213546802600226,0.017577427827920298
fusion3_cnn,pytorch_unfused,64,0.8735903768272667,0.005877796774655448
fusion3_cnn,triton_fused,64,1.0113919973373413,0.006458276029367869
fusion3_cnn,cuda_fused,64,0.55055351065589,0.010845223242794941
fusion3_cnn,pytorch_unfused,128,1.672753977448973,0.005436550779775105
fusion3_cnn,triton_fused,128,1.9441104637433404,0.0058941445067137175
fusion3_cnn,cuda_fused,128,0.9969564953895464,0.005189252728491233
fusion3_cnn,pytorch_unfused,256,3.197698652744293,0.01077129237909782
fusion3_cnn,triton_fused,256,3.747607105308109,0.022822340983362964
fusion3_cnn,cuda_fused,256,1.8865608904096816,0.006595043028153557
