operation,implementation,batch_size,mean_ms,std_ms
cnn_inference,pytorch_unfused,16,0.23606272131204606,0.0025226810499763036
cnn_inference,triton_fused,16,0.16080895856022834,0.006070033722409533
cnn_inference,cuda_fused,16,0.16506879955530165,0.0031059477471340148
cnn_inference,pytorch_unfused,32,1.256368003487587,0.5063483539915578
cnn_inference,triton_fused,32,1.8709673690795898,0.5873906732850088
cnn_inference,cuda_fused,32,2.45418686568737,0.7954490048106488
cnn_inference,pytorch_unfused,64,1.9925446438789367,0.5883954067247955
cnn_inference,triton_fused,64,2.4768073630332945,0.4542460236367282
cnn_inference,cuda_fused,64,2.5171820771694184,1.3446748860900959
cnn_inference,pytorch_unfused,128,3.12019887283633,0.8486728039613511
cnn_inference,triton_fused,128,2.827475047941449,0.5796092032674631
cnn_inference,cuda_fused,128,2.8993494786039182,0.5242448683112346
cnn_inference,pytorch_unfused,256,7.288025601580739,1.2871031832255022
cnn_inference,triton_fused,256,3.2856648072600363,0.8733731458141628
cnn_inference,cuda_fused,256,3.0815167881548406,0.9278328796138907
